Date,Open,High,Low,Close,Adj Close,Volume,Day
7/5/17,222.839996,223.169998,222,222.940002,198.910294,2043800,843
7/6/17,222.160004,222.25,220.720001,220.940002,197.125824,2540700,844
7/7/17,221.520004,222.520004,221.380005,222.339996,198.374924,2148000,845
7/10/17,222.199997,222.990005,222.039993,222.570007,198.58017,1800100,846
7/11/17,222.419998,222.759995,221.220001,222.399994,198.428467,1638700,847
7/12/17,223.470001,224.279999,223.470001,224.070007,199.918488,1492100,848
7/13/17,224.160004,224.610001,223.889999,224.449997,200.257553,1485500,849
7/14/17,224.520004,225.899994,224.389999,225.470001,201.167603,1642400,850
7/17/17,225.449997,225.860001,225.339996,225.5,201.194351,1176200,851
7/18/17,225.130005,225.690002,224.729996,225.669998,201.346024,3146500,852
7/19/17,225.979996,226.860001,225.960007,226.860001,202.407761,1255300,853
7/20/17,227.130005,227.25,226.399994,226.929993,202.470169,1698100,854
7/21/17,226.360001,226.779999,226.110001,226.770004,202.327469,2461700,855
7/24/17,226.669998,226.830002,226.220001,226.690002,202.256073,1278200,856
7/25/17,227.509995,227.589996,227.020004,227.229996,202.737885,1349500,857
7/26/17,227.570007,227.589996,226.979996,227.300003,202.800369,1574100,858
7/27/17,227.75,227.779999,225.649994,227.029999,202.559464,1834500,859
7/28/17,226.539993,226.919998,226.089996,226.770004,202.327469,2364100,860
7/31/17,227.229996,227.300003,226.440002,226.639999,202.211456,3020000,861
8/1/17,227.300003,227.320007,226.679993,227.149994,202.666489,1674500,862
8/2/17,227.309998,227.419998,226.289993,227.279999,202.782516,1889300,863
8/3/17,227.179993,227.179993,226.550003,226.880005,202.425629,1266400,864
8/4/17,227.360001,227.589996,226.839996,227.259995,202.764633,1039800,865
8/7/17,227.330002,227.660004,227.199997,227.630005,203.094788,848500,866
8/8/17,227.339996,228.619995,226.729996,227.179993,202.693237,1064700,867
8/9/17,226.350006,227.149994,226,227.050003,202.577255,1536600,868
8/10/17,226.240005,226.350006,223.850006,223.929993,199.793533,3043300,869
